Neighborhood,Education Level,Employment Status,Age,Years of Experience,Annual Income,Gender,Household Size
Kingsley,Bachelors,Full-time,27,4,67288,Female,6
Huntington,Technical,Part-time,55,20,27738,Female,1
Ashford,Postgraduate,Unemployed,31,0,26218,Female,6
Huntington,Bachelors,Part-time,66,17,38420,Female,2
Huntington,None,Full-time,58,34,24646,Male,2
Rosedale,Bachelors,Part-time,36,14,40377,Male,7
Ashford,Bachelors,Part-time,47,4,44501,Female,5
Ashford,None,Part-time,22,4,11098,Male,5
Ashford,Bachelors,Full-time,72,50,67738,Male,3
Huntington,Bachelors,Full-time,48,11,72619,Female,6
Kingsley,Technical,Retired,24,0,16842,Male,2
Ashford,Postgraduate,Unemployed,36,0,33938,Male,7
Huntington,Postgraduate,Full-time,48,29,97816,Male,1
Rosedale,Bachelors,Unemployed,69,0,25063,Male,7
Kingsley,Bachelors,Full-time,75,54,65494,Female,4
Rosedale,Bachelors,Part-time,56,20,43560,Female,1
Kingsley,Bachelors,Retired,41,0,35510,Female,5
Huntington,Bachelors,Retired,51,0,33444,Female,1
Maplewood,None,Unemployed,74,0,10267,Male,2
Kingsley,Bachelors,Full-time,40,4,72543,Male,6
Rosedale,Postgraduate,Unemployed,65,0,32562,Male,7
Huntington,Bachelors,Full-time,62,5,68994,Male,3
Kingsley,None,Retired,57,0,12253,Other,6
Maplewood,Bachelors,Retired,23,0,30045,Female,4
Maplewood,Technical,Part-time,55,6,21057,Male,3
Ashford,Technical,Full-time,58,25,35663,Male,4
Ashford,Technical,Unemployed,53,0,11668,Male,4
Rosedale,Technical,Full-time,44,9,37029,Male,2
Kingsley,Bachelors,Full-time,28,7,70717,Male,2
Kingsley,Bachelors,Retired,22,0,32696,Female,5
Ashford,Technical,Full-time,74,8,43831,Female,5
Kingsley,Postgraduate,Retired,34,0,47663,Female,4
Kingsley,Postgraduate,Full-time,69,26,97745,Male,6
Maplewood,Postgraduate,Full-time,24,3,100004,Male,5
Ashford,Technical,Retired,44,0,21321,Female,2
Huntington,Bachelors,Part-time,64,20,42125,Female,5
Ashford,Postgraduate,Full-time,74,30,99948,Female,4
Huntington,Bachelors,Retired,32,0,34402,Female,7
Maplewood,None,Part-time,63,20,10427,Female,3
Rosedale,None,Part-time,30,7,12912,Female,6
Kingsley,Bachelors,Full-time,28,8,65394,Male,6
Maplewood,Postgraduate,Retired,77,0,48597,Female,1
Kingsley,Bachelors,Retired,62,0,30329,Male,5
Rosedale,Bachelors,Retired,43,0,30772,Male,6
Rosedale,Technical,Full-time,39,6,43135,Female,7
Maplewood,Bachelors,Retired,45,0,31645,Male,7
Rosedale,Postgraduate,Part-time,41,14,64924,Male,2
Huntington,Technical,Part-time,46,20,20787,Male,3
Rosedale,Bachelors,Full-time,26,2,74815,Male,2
Kingsley,Postgraduate,Unemployed,59,0,25999,Male,5
Kingsley,Technical,Retired,21,0,16848,Male,4
Kingsley,Bachelors,Full-time,66,48,66561,Male,7
Kingsley,Technical,Full-time,63,42,35773,Male,7
Huntington,Bachelors,Unemployed,73,0,23311,Other,1
Ashford,Bachelors,Full-time,35,8,70179,Male,1
Maplewood,Bachelors,Unemployed,60,0,17803,Male,7
Kingsley,Bachelors,Part-time,33,4,46290,Female,3
Rosedale,Technical,Part-time,50,27,21050,Female,6
Kingsley,Postgraduate,Full-time,46,28,104790,Female,6
Rosedale,Bachelors,Full-time,56,13,65747,Male,7
Rosedale,Technical,Unemployed,77,0,15125,Female,6
Kingsley,Bachelors,Full-time,27,3,70860,Female,1
Huntington,Bachelors,Retired,26,0,33973,Female,4
Rosedale,Technical,Full-time,76,52,44745,Female,6
Rosedale,Postgraduate,Full-time,48,19,96615,Female,2
Kingsley,Postgraduate,Full-time,45,1,98754,Female,7
Rosedale,Technical,Part-time,77,11,24506,Female,6
Rosedale,Postgraduate,Unemployed,74,0,29221,Male,4
Kingsley,Technical,Full-time,20,0,40291,Female,7
Kingsley,Technical,Full-time,71,23,40854,Female,3
Maplewood,Technical,Full-time,72,19,35216,Male,3
Huntington,Postgraduate,Part-time,31,4,56359,Other,1
Huntington,Bachelors,Full-time,75,37,68774,Male,4
Rosedale,Technical,Unemployed,42,0,12417,Male,2
Huntington,Bachelors,Part-time,32,13,41927,Female,4
Rosedale,Bachelors,Part-time,19,1,41429,Male,2
Maplewood,None,Full-time,41,10,19606,Male,2
Kingsley,Postgraduate,Unemployed,31,0,29478,Male,4
Kingsley,Postgraduate,Full-time,65,39,96896,Male,7
Kingsley,Bachelors,Full-time,24,6,72366,Male,5
Huntington,Postgraduate,Part-time,53,35,59427,Male,4
Maplewood,Bachelors,Part-time,67,37,42361,Male,7
Huntington,Postgraduate,Full-time,41,15,104091,Other,2
Huntington,Bachelors,Full-time,44,19,65641,Other,7
Maplewood,Bachelors,Retired,54,0,35346,Male,7
Maplewood,Technical,Full-time,55,14,39729,Female,6
Maplewood,Postgraduate,Retired,47,0,48627,Male,3
Maplewood,Bachelors,Part-time,44,13,43594,Male,3
Kingsley,Technical,Full-time,56,22,43387,Male,1
Ashford,None,Full-time,80,11,18275,Other,3
Ashford,Bachelors,Full-time,32,12,69050,Female,5
Maplewood,Bachelors,Retired,43,0,34553,Male,2
Ashford,Bachelors,Part-time,18,0,41925,Male,4
Ashford,Postgraduate,Full-time,73,43,97304,Male,4
Maplewood,None,Part-time,21,3,10343,Female,5
Ashford,Bachelors,Unemployed,46,0,18056,Female,3
Huntington,Technical,Full-time,74,14,37808,Male,2
Rosedale,Postgraduate,Unemployed,18,0,32092,Female,3
Rosedale,Postgraduate,Full-time,60,28,104416,Male,7
Maplewood,Bachelors,Full-time,67,44,72226,Female,1
Kingsley,Bachelors,Full-time,63,42,65886,Female,3
Maplewood,Technical,Full-time,39,16,43584,Male,1
Kingsley,Bachelors,Full-time,28,4,74867,Female,4
Rosedale,Postgraduate,Full-time,27,9,102720,Female,2
Maplewood,Bachelors,Unemployed,76,0,18446,Male,6
Huntington,Technical,Retired,79,0,18905,Male,7
Ashford,Bachelors,Retired,34,0,36474,Female,1
Kingsley,Postgraduate,Full-time,53,15,98591,Male,3
Ashford,Technical,Full-time,73,14,37181,Male,7
Ashford,Technical,Full-time,64,41,40011,Male,3
Maplewood,Bachelors,Retired,43,0,35030,Female,7
Ashford,Postgraduate,Unemployed,65,0,25354,Female,4
Huntington,Technical,Full-time,38,3,37631,Female,5
Ashford,Technical,Full-time,30,10,36521,Female,7
Maplewood,Technical,Part-time,26,6,21672,Male,6
Huntington,Technical,Full-time,28,8,37337,Female,5
Rosedale,Bachelors,Full-time,28,4,71968,Female,3
Ashford,Bachelors,Part-time,23,3,37628,Male,5
Maplewood,Bachelors,Retired,18,0,37162,Male,7
Rosedale,Bachelors,Full-time,71,8,67679,Male,6
Rosedale,Technical,Full-time,23,4,40266,Female,6
Kingsley,Postgraduate,Unemployed,30,0,29422,Female,2
Huntington,Bachelors,Full-time,39,19,74630,Female,5
Ashford,Postgraduate,Full-time,73,42,102463,Other,2
Maplewood,Bachelors,Full-time,48,10,74613,Male,3
Kingsley,Technical,Full-time,39,6,36126,Female,3
Huntington,Bachelors,Full-time,54,3,66780,Female,3
Kingsley,Technical,Retired,64,0,24723,Male,4
Huntington,Bachelors,Full-time,44,4,74424,Other,5
Huntington,None,Full-time,67,4,21571,Male,1
Ashford,Technical,Part-time,69,10,27584,Female,6
Huntington,Postgraduate,Part-time,31,8,55825,Female,1
Kingsley,Technical,Unemployed,64,0,14276,Female,3
Huntington,Postgraduate,Unemployed,75,0,27395,Female,7
Ashford,Technical,Full-time,22,3,39145,Male,7
Ashford,Bachelors,Retired,75,0,37059,Female,5
Kingsley,Bachelors,Full-time,53,15,70492,Male,7
Rosedale,Bachelors,Unemployed,49,0,23111,Female,2
Rosedale,Technical,Full-time,51,29,44984,Female,1
Huntington,Technical,Unemployed,24,0,13792,Female,7
Maplewood,None,Retired,59,0,14555,Male,3
Huntington,Technical,Full-time,65,3,38551,Female,1
Kingsley,Bachelors,Part-time,27,1,44711,Female,1
Kingsley,Postgraduate,Unemployed,67,0,28628,Female,6
Kingsley,Postgraduate,Unemployed,34,0,26565,Male,1
Kingsley,Bachelors,Full-time,47,13,68667,Male,3
Kingsley,Bachelors,Retired,38,0,36459,Male,6
Ashford,Bachelors,Full-time,77,2,69096,Female,3
Rosedale,Technical,Full-time,30,1,36019,Female,4
Kingsley,Postgraduate,Full-time,18,0,102928,Other,7
Maplewood,Bachelors,Full-time,18,0,74476,Male,4
Maplewood,Bachelors,Retired,64,0,38254,Male,7
Maplewood,Technical,Full-time,50,20,40965,Female,4
Maplewood,Bachelors,Retired,55,0,32269,Female,1
Ashford,Bachelors,Full-time,42,5,73835,Female,5
Maplewood,Postgraduate,Full-time,43,10,99721,Female,3
Kingsley,Bachelors,Full-time,30,4,73408,Male,4
Huntington,Technical,Full-time,76,17,35195,Female,5
Maplewood,Postgraduate,Full-time,45,11,98273,Female,4
Ashford,Technical,Full-time,50,4,40110,Female,7
Ashford,Bachelors,Part-time,54,8,44401,Male,4
Maplewood,None,Full-time,80,19,18212,Male,5
Huntington,Bachelors,Full-time,58,27,67755,Male,4
Maplewood,Postgraduate,Full-time,47,25,96521,Female,1
Ashford,Technical,Unemployed,74,0,12674,Male,1
Rosedale,Postgraduate,Unemployed,66,0,26080,Male,6
Kingsley,Technical,Full-time,65,17,40623,Male,1
Ashford,Postgraduate,Full-time,25,2,95721,Female,2
Maplewood,Bachelors,Full-time,66,2,66562,Male,6
Kingsley,Postgraduate,Unemployed,64,0,25639,Female,4
Maplewood,None,Full-time,73,8,19260,Male,2
Maplewood,Postgraduate,Full-time,18,0,100190,Male,3
Rosedale,Bachelors,Full-time,29,3,68736,Female,5
Kingsley,Technical,Full-time,22,0,42746,Male,3
Kingsley,Postgraduate,Full-time,41,16,95089,Male,2
Rosedale,Technical,Retired,23,0,16251,Male,1
Ashford,Postgraduate,Full-time,42,22,104294,Female,7
Maplewood,Technical,Part-time,18,0,23703,Female,4
Huntington,Bachelors,Full-time,42,22,65348,Male,6
Maplewood,Bachelors,Full-time,18,0,69052,Male,7
Maplewood,None,Unemployed,49,0,3941,Other,7
Ashford,Technical,Full-time,59,33,43437,Female,4
Maplewood,None,Retired,59,0,5271,Male,1
Rosedale,Bachelors,Part-time,20,0,39030,Female,4
Rosedale,Technical,Full-time,66,40,42836,Female,5
Kingsley,Bachelors,Unemployed,36,0,25657,Female,7
Huntington,Technical,Full-time,77,4,44387,Male,5
Maplewood,Technical,Unemployed,60,0,14041,Male,5
Maplewood,Bachelors,Full-time,46,14,70175,Male,3
Ashford,None,Unemployed,67,0,10806,Female,1
Rosedale,Postgraduate,Full-time,19,0,96126,Female,5
Huntington,Postgraduate,Part-time,26,2,59379,Male,2
Kingsley,Bachelors,Retired,73,0,38708,Female,5
Rosedale,Bachelors,Unemployed,34,0,25493,Female,6
Kingsley,Postgraduate,Unemployed,77,0,33052,Other,3
Ashford,Technical,Retired,63,0,15611,Female,2
Ashford,None,Unemployed,53,0,1749,Other,7
Maplewood,Technical,Full-time,78,18,36856,Male,1
Huntington,Bachelors,Full-time,34,2,73591,Female,1
Kingsley,None,Full-time,66,37,16526,Female,6
Rosedale,Bachelors,Full-time,29,3,71229,Male,7
Ashford,Postgraduate,Full-time,77,23,103511,Male,5
Maplewood,Postgraduate,Part-time,37,12,63527,Other,2
Maplewood,Bachelors,Full-time,67,44,67098,Male,6
Kingsley,None,Part-time,20,2,14865,Female,2
Ashford,Postgraduate,Full-time,60,10,95173,Male,5
Huntington,Bachelors,Full-time,74,36,74833,Male,7
Ashford,Technical,Part-time,67,0,19500,Male,5
Kingsley,None,Retired,21,0,8646,Male,4
Kingsley,Postgraduate,Retired,34,0,51219,Female,4
Ashford,Bachelors,Part-time,67,8,39363,Female,5
Kingsley,Postgraduate,Full-time,54,16,102540,Male,3
Ashford,Postgraduate,Part-time,63,0,56896,Male,6
Rosedale,Bachelors,Full-time,59,2,70759,Male,4
Ashford,Bachelors,Full-time,32,14,74910,Male,5
Ashford,Bachelors,Full-time,50,25,66778,Female,2
Kingsley,Technical,Full-time,33,4,38057,Male,6
Kingsley,Bachelors,Full-time,28,9,70190,Male,7
Maplewood,Bachelors,Unemployed,72,0,22997,Female,4
Maplewood,Bachelors,Unemployed,37,0,20747,Male,7
Rosedale,Postgraduate,Full-time,55,22,104286,Male,3
Maplewood,Bachelors,Full-time,41,9,65045,Male,6
Ashford,Bachelors,Full-time,78,7,72758,Female,6
Kingsley,Bachelors,Full-time,71,43,74637,Female,1
Maplewood,Bachelors,Unemployed,33,0,23053,Female,2
Maplewood,Bachelors,Full-time,47,24,68201,Male,3
Rosedale,Technical,Retired,51,0,15455,Male,3
Rosedale,Bachelors,Full-time,18,0,74854,Female,7
Ashford,Technical,Unemployed,41,0,9924,Female,3
Kingsley,Technical,Full-time,41,21,42798,Other,2
Rosedale,Bachelors,Retired,26,0,30965,Male,3
Maplewood,Bachelors,Full-time,39,14,69964,Male,1
Kingsley,Postgraduate,Part-time,29,10,56528,Female,4
Kingsley,Bachelors,Full-time,34,8,67976,Female,2
Maplewood,Bachelors,Full-time,79,55,68071,Female,3
Rosedale,Bachelors,Unemployed,42,0,20869,Female,5
Maplewood,Bachelors,Unemployed,45,0,22387,Female,4
Kingsley,None,Unemployed,78,0,3521,Female,7
Huntington,Technical,Part-time,32,8,25525,Female,6
Huntington,Technical,Retired,47,0,16126,Other,2
Ashford,Bachelors,Full-time,68,9,71632,Female,5
Maplewood,None,Full-time,44,19,20773,Male,6
Maplewood,Technical,Full-time,39,8,42716,Male,5
Ashford,Technical,Part-time,27,6,22404,Female,3
